Delay (Seconds) - Plot 0,g(2) - Plot 0
35.9037n,13.6745
35.9846n,38.5756
36.0656n,11.7873
36.1465n,52.9973
36.2275n,8.65644
36.3084n,56.991
36.3894n,11.2159
36.4704n,56.5569
36.5513n,9.82424
36.6323n,62.8683
36.7132n,13.1342
36.7942n,44.6469
36.8751n,12.7709
36.9561n,51.8401
37.037n,10.9412
37.118n,47.2796
37.1989n,13.6937
37.2799n,59.6245
37.3609n,10.731
37.4418n,37.9944
37.5228n,13.7419
37.6037n,48.4904
37.6847n,10.8694
37.7656n,52.7491
37.8466n,14.2474
37.9275n,45.0043
38.0085n,10.743
38.0895n,55.2341
38.1704n,13.4643
38.2514n,45.8461
38.3323n,12.9771
38.4133n,60.6363
38.4942n,8.42533
38.5752n,45.7348
38.6561n,11.3647
38.7371n,62.251
38.8181n,8.77909
38.899n,40.7851
38.98n,10.4164
39.0609n,69.5966
39.1419n,10.8728
39.2228n,59.607
39.3038n,11.6424
39.3847n,54.5489
39.4657n,8.83941
39.5467n,53.0619
39.6276n,10.7407
39.7086n,64.348
39.7895n,11.8068
39.8705n,53.6604
39.9514n,12.9307
40.0324n,48.6414
40.1133n,11.6285
40.1943n,56.4966
40.2752n,9.08205
40.3562n,51.5126
40.4372n,29.4409
